file_id,area,spot,in_out,Participant
1356.wav,westend,leicester,outdoor,S12
1779.wav,westend,piazza,outdoor,S12
1783.wav,Euston,gardens,outdoor,S12
1830.wav,campus,curve,indoor,S12
2164.wav,campus,library,outdoor,S12
2209.wav,westend,trafalgar,outdoor,S12
2228.wav,westend,market,indoor,S12
2233.wav,Euston,library,indoor,S12
2432.wav,campus,square,outdoor,S12
0108.wav,westend,charing,indoor,S121
0481.wav,campus,canal,outdoor,S121
0699.wav,westend,piazza,outdoor,S121
0790.wav,westend,national,indoor,S121
0823.wav,campus,reception,indoor,S121
0881.wav,campus,library,outdoor,S121
1905.wav,campus,curve,indoor,S121
2074.wav,campus,square,outdoor,S121
2115.wav,westend,trafalgar,outdoor,S121
2366.wav,westend,market,indoor,S121
2393.wav,campus,ground,indoor,S121
0128.wav,british,greatcourt,indoor,S122
0243.wav,westend,market,indoor,S122
0434.wav,british,room12,indoor,S122
0789.wav,campus,reception,indoor,S122
0838.wav,british,forecourt,outdoor,S122
0900.wav,british,square,outdoor,S122
1013.wav,westend,national,indoor,S122
1095.wav,british,street,outdoor,S122
1096.wav,westend,piazza,outdoor,S122
1587.wav,campus,library,outdoor,S122
1864.wav,campus,square,outdoor,S122
1881.wav,campus,ground,indoor,S122
1934.wav,campus,canal,outdoor,S122
2072.wav,westend,charing,indoor,S122
2231.wav,westend,trafalgar,outdoor,S122
0087.wav,campus,ground,indoor,S124
0173.wav,british,square,outdoor,S124
0329.wav,british,greatcourt,indoor,S124
0503.wav,british,room12,indoor,S124
0739.wav,westend,leicester,outdoor,S124
0971.wav,campus,library,outdoor,S124
0974.wav,westend,trafalgar,outdoor,S124
1059.wav,campus,curve,indoor,S124
1117.wav,westend,piazza,outdoor,S124
1739.wav,british,forecourt,outdoor,S124
1988.wav,campus,reception,indoor,S124
2023.wav,british,street,outdoor,S124
2068.wav,campus,square,outdoor,S124
2236.wav,campus,canal,outdoor,S124
2280.wav,westend,charing,indoor,S124
2462.wav,westend,national,indoor,S124
0038.wav,southbank,book,outdoor,S126
0049.wav,westend,charing,indoor,S126
0071.wav,campus,ground,indoor,S126
0221.wav,campus,canal,outdoor,S126
0330.wav,southbank,food,outdoor,S126
0595.wav,westend,national,indoor,S126
1082.wav,westend,piazza,outdoor,S126
1265.wav,southbank,royal,indoor,S126
1267.wav,campus,curve,indoor,S126
1482.wav,westend,market,indoor,S126
1503.wav,southbank,bridge,outdoor,S126
1579.wav,campus,library,outdoor,S126
1598.wav,southbank,skate,outdoor,S126
2073.wav,campus,square,outdoor,S126
2376.wav,campus,reception,indoor,S126
0002.wav,kensington,dinosaur,indoor,S127
0231.wav,westend,piazza,outdoor,S127
0448.wav,campus,library,outdoor,S127
0459.wav,westend,trafalgar,outdoor,S127
0588.wav,campus,square,outdoor,S127
0622.wav,westend,leicester,outdoor,S127
0956.wav,campus,curve,indoor,S127
1311.wav,westend,national,indoor,S127
1534.wav,kensington,hintze,indoor,S127
1568.wav,campus,reception,indoor,S127
1635.wav,kensington,marine,indoor,S127
1991.wav,kensington,albert,outdoor,S127
2169.wav,westend,charing,indoor,S127
2282.wav,kensington,pond,outdoor,S127
2303.wav,campus,canal,outdoor,S127
0904.wav,british,square,outdoor,S128
0124.wav,westend,piazza,outdoor,S129
0130.wav,campus,ground,indoor,S129
0207.wav,Euston,upper,indoor,S129
0383.wav,westend,trafalgar,outdoor,S129
0470.wav,westend,national,indoor,S129
0536.wav,campus,library,outdoor,S129
0619.wav,campus,canal,outdoor,S129
0669.wav,westend,market,indoor,S129
0744.wav,campus,curve,indoor,S129
0776.wav,Euston,library,indoor,S129
0791.wav,Euston,forecourt,outdoor,S129
0863.wav,campus,reception,indoor,S129
0938.wav,Euston,piazza,outdoor,S129
1256.wav,Euston,gardens,outdoor,S129
1269.wav,Euston,ritblat,indoor,S129
2360.wav,westend,leicester,outdoor,S129
2383.wav,campus,square,outdoor,S129
0052.wav,british,forecourt,outdoor,S13
0084.wav,westend,national,indoor,S13
0186.wav,westend,market,indoor,S13
0429.wav,campus,reception,indoor,S13
0906.wav,british,room12,indoor,S13
0985.wav,british,square,outdoor,S13
1268.wav,westend,trafalgar,outdoor,S13
1362.wav,campus,ground,indoor,S13
1436.wav,british,greatcourt,indoor,S13
1505.wav,westend,charing,indoor,S13
1648.wav,campus,library,outdoor,S13
1658.wav,westend,leicester,outdoor,S13
1866.wav,westend,piazza,outdoor,S13
2081.wav,campus,canal,outdoor,S13
2205.wav,campus,curve,indoor,S13
0191.wav,campus,ground,indoor,S130
0332.wav,campus,reception,indoor,S130
0920.wav,campus,canal,outdoor,S130
1180.wav,campus,library,outdoor,S130
1710.wav,campus,square,outdoor,S130
2217.wav,westend,trafalgar,outdoor,S130
2290.wav,westend,piazza,outdoor,S130
0009.wav,british,forecourt,outdoor,S131
0233.wav,british,greatcourt,indoor,S131
0421.wav,westend,trafalgar,outdoor,S131
0473.wav,campus,library,outdoor,S131
0864.wav,campus,ground,indoor,S131
1010.wav,campus,canal,outdoor,S131
1548.wav,british,street,outdoor,S131
1660.wav,british,room12,indoor,S131
1670.wav,westend,leicester,outdoor,S131
1708.wav,campus,curve,indoor,S131
1746.wav,westend,piazza,outdoor,S131
1894.wav,campus,reception,indoor,S131
2060.wav,westend,charing,indoor,S131
0198.wav,kensington,hintze,indoor,S132
0770.wav,campus,curve,indoor,S132
1038.wav,kensington,marine,indoor,S132
1042.wav,kensington,dinosaur,indoor,S132
1098.wav,kensington,cromwell,outdoor,S132
1735.wav,campus,ground,indoor,S132
1766.wav,campus,library,outdoor,S132
1887.wav,westend,national,indoor,S132
1902.wav,campus,canal,outdoor,S132
2064.wav,westend,market,indoor,S132
2249.wav,kensington,albert,outdoor,S132
2365.wav,westend,piazza,outdoor,S132
2385.wav,campus,square,outdoor,S132
2424.wav,westend,trafalgar,outdoor,S132
0096.wav,british,room12,indoor,S133
0227.wav,westend,piazza,outdoor,S133
0909.wav,british,street,outdoor,S133
0911.wav,westend,market,indoor,S133
1078.wav,campus,ground,indoor,S133
1341.wav,campus,curve,indoor,S133
1377.wav,westend,trafalgar,outdoor,S133
1438.wav,british,forecourt,outdoor,S133
1474.wav,campus,library,outdoor,S133
1723.wav,british,greatcourt,indoor,S133
1868.wav,campus,canal,outdoor,S133
2028.wav,westend,charing,indoor,S133
2063.wav,westend,leicester,outdoor,S133
2141.wav,westend,national,indoor,S133
2387.wav,campus,reception,indoor,S133
0292.wav,westend,trafalgar,outdoor,S134
0597.wav,british,room12,indoor,S134
0659.wav,british,greatcourt,indoor,S134
0693.wav,british,street,outdoor,S134
0711.wav,westend,piazza,outdoor,S134
0841.wav,campus,ground,indoor,S134
1234.wav,campus,reception,indoor,S134
1342.wav,british,forecourt,outdoor,S134
1365.wav,westend,leicester,outdoor,S134
1521.wav,campus,square,outdoor,S134
1638.wav,westend,charing,indoor,S134
1921.wav,campus,curve,indoor,S134
1965.wav,westend,market,indoor,S134
0169.wav,westend,charing,indoor,S135
0194.wav,campus,square,outdoor,S135
0321.wav,british,forecourt,outdoor,S135
0488.wav,westend,leicester,outdoor,S135
0592.wav,campus,library,outdoor,S135
0775.wav,campus,curve,indoor,S135
1185.wav,westend,piazza,outdoor,S135
1302.wav,british,street,outdoor,S135
1459.wav,british,room12,indoor,S135
1460.wav,campus,ground,indoor,S135
1616.wav,campus,canal,outdoor,S135
1640.wav,westend,national,indoor,S135
1792.wav,british,square,outdoor,S135
1966.wav,westend,trafalgar,outdoor,S135
2026.wav,campus,reception,indoor,S135
0012.wav,british,forecourt,outdoor,S136
0237.wav,campus,curve,indoor,S136
0287.wav,british,street,outdoor,S136
0608.wav,campus,library,outdoor,S136
0738.wav,westend,market,indoor,S136
0828.wav,westend,leicester,outdoor,S136
1086.wav,westend,trafalgar,outdoor,S136
1128.wav,campus,canal,outdoor,S136
1184.wav,campus,ground,indoor,S136
1194.wav,british,square,outdoor,S136
1404.wav,campus,reception,indoor,S136
1540.wav,westend,piazza,outdoor,S136
2300.wav,westend,charing,indoor,S136
2435.wav,westend,national,indoor,S136
0016.wav,westend,leicester,outdoor,S137
0069.wav,campus,library,outdoor,S137
0296.wav,westend,market,indoor,S137
0443.wav,campus,square,outdoor,S137
0945.wav,british,forecourt,outdoor,S137
1130.wav,campus,reception,indoor,S137
1427.wav,westend,piazza,outdoor,S137
1732.wav,westend,trafalgar,outdoor,S137
1888.wav,campus,ground,indoor,S137
2176.wav,westend,national,indoor,S137
2317.wav,british,room12,indoor,S137
2342.wav,british,street,outdoor,S137
2373.wav,campus,curve,indoor,S137
0323.wav,campus,library,outdoor,S138
0525.wav,campus,canal,outdoor,S138
0553.wav,campus,curve,indoor,S138
1045.wav,campus,ground,indoor,S138
1609.wav,campus,reception,indoor,S138
2103.wav,campus,square,outdoor,S138
0244.wav,campus,reception,indoor,S139
0260.wav,british,forecourt,outdoor,S139
0457.wav,westend,national,indoor,S139
0469.wav,westend,market,indoor,S139
1149.wav,campus,curve,indoor,S139
1230.wav,westend,leicester,outdoor,S139
1247.wav,british,greatcourt,indoor,S139
1285.wav,westend,piazza,outdoor,S139
1299.wav,westend,charing,indoor,S139
1435.wav,westend,trafalgar,outdoor,S139
1588.wav,campus,library,outdoor,S139
1944.wav,campus,square,outdoor,S139
2053.wav,british,square,outdoor,S139
2089.wav,british,room12,indoor,S139
2312.wav,campus,ground,indoor,S139
2471.wav,british,street,outdoor,S139
0119.wav,Euston,library,indoor,S14
0134.wav,campus,square,outdoor,S14
0235.wav,british,room12,indoor,S14
0474.wav,british,forecourt,outdoor,S14
0628.wav,campus,ground,indoor,S14
0745.wav,british,greatcourt,indoor,S14
0933.wav,campus,canal,outdoor,S14
1008.wav,campus,library,outdoor,S14
1027.wav,Euston,gardens,outdoor,S14
1243.wav,campus,curve,indoor,S14
1330.wav,british,street,outdoor,S14
1882.wav,Euston,upper,indoor,S14
2033.wav,british,square,outdoor,S14
2061.wav,Euston,piazza,outdoor,S14
2357.wav,Euston,forecourt,outdoor,S14
2449.wav,Euston,ritblat,indoor,S14
0007.wav,Euston,upper,indoor,S140
0068.wav,Euston,piazza,outdoor,S140
0312.wav,Euston,forecourt,outdoor,S140
0428.wav,Euston,gardens,outdoor,S140
1079.wav,campus,square,outdoor,S140
1156.wav,british,street,outdoor,S140
1188.wav,british,greatcourt,indoor,S140
1195.wav,Euston,ritblat,indoor,S140
1252.wav,campus,ground,indoor,S140
1253.wav,british,forecourt,outdoor,S140
1551.wav,campus,canal,outdoor,S140
1659.wav,campus,reception,indoor,S140
1890.wav,campus,curve,indoor,S140
2215.wav,british,room12,indoor,S140
2326.wav,campus,library,outdoor,S140
2372.wav,british,square,outdoor,S140
2397.wav,Euston,library,indoor,S140
0112.wav,british,street,outdoor,S141
0168.wav,campus,reception,indoor,S141
0309.wav,british,greatcourt,indoor,S141
0733.wav,british,room12,indoor,S141
0779.wav,british,square,outdoor,S141
0932.wav,westend,trafalgar,outdoor,S141
1203.wav,westend,piazza,outdoor,S141
1500.wav,campus,square,outdoor,S141
1820.wav,westend,national,indoor,S141
1833.wav,campus,library,outdoor,S141
1858.wav,british,forecourt,outdoor,S141
1992.wav,campus,canal,outdoor,S141
2057.wav,campus,curve,indoor,S141
2088.wav,westend,charing,indoor,S141
2180.wav,westend,leicester,outdoor,S141
2441.wav,westend,market,indoor,S141
0577.wav,Euston,upper,indoor,S142
0809.wav,british,street,outdoor,S142
0839.wav,Euston,piazza,outdoor,S142
0954.wav,southbank,royal,indoor,S142
0977.wav,british,room12,indoor,S142
0989.wav,Euston,ritblat,indoor,S142
1001.wav,Euston,library,indoor,S142
1353.wav,Euston,forecourt,outdoor,S142
1370.wav,southbank,bridge,outdoor,S142
1797.wav,southbank,book,outdoor,S142
1832.wav,southbank,waterloo,indoor,S142
1877.wav,Euston,gardens,outdoor,S142
2135.wav,british,square,outdoor,S142
2171.wav,british,greatcourt,indoor,S142
2187.wav,british,forecourt,outdoor,S142
2310.wav,southbank,skate,outdoor,S142
2374.wav,southbank,food,outdoor,S142
0028.wav,campus,canal,outdoor,S143
0161.wav,campus,square,outdoor,S143
0574.wav,westend,national,indoor,S143
0800.wav,westend,trafalgar,outdoor,S143
0851.wav,kensington,dinosaur,indoor,S143
1055.wav,kensington,marine,indoor,S143
1255.wav,kensington,albert,outdoor,S143
1403.wav,kensington,cromwell,outdoor,S143
1700.wav,campus,ground,indoor,S143
1770.wav,kensington,pond,outdoor,S143
1772.wav,westend,piazza,outdoor,S143
1874.wav,westend,leicester,outdoor,S143
1915.wav,westend,charing,indoor,S143
1938.wav,westend,market,indoor,S143
1962.wav,kensington,hintze,indoor,S143
2048.wav,campus,curve,indoor,S143
2184.wav,campus,reception,indoor,S143
2208.wav,campus,library,outdoor,S143
0034.wav,westend,national,indoor,S144
0184.wav,westend,trafalgar,outdoor,S144
0188.wav,westend,market,indoor,S144
0190.wav,british,greatcourt,indoor,S144
0199.wav,westend,piazza,outdoor,S144
0325.wav,campus,canal,outdoor,S144
0454.wav,campus,square,outdoor,S144
0471.wav,campus,reception,indoor,S144
0846.wav,campus,library,outdoor,S144
1041.wav,british,room12,indoor,S144
1368.wav,british,forecourt,outdoor,S144
1485.wav,british,street,outdoor,S144
1829.wav,campus,ground,indoor,S144
1995.wav,westend,charing,indoor,S144
2183.wav,campus,curve,indoor,S144
2421.wav,westend,leicester,outdoor,S144
0014.wav,campus,square,outdoor,S145
0142.wav,kensington,marine,indoor,S145
0444.wav,kensington,pond,outdoor,S145
0687.wav,Euston,library,indoor,S145
0705.wav,campus,canal,outdoor,S145
0758.wav,Euston,piazza,outdoor,S145
0784.wav,campus,library,outdoor,S145
0820.wav,campus,ground,indoor,S145
0970.wav,campus,curve,indoor,S145
0986.wav,kensington,albert,outdoor,S145
1183.wav,Euston,upper,indoor,S145
1260.wav,campus,reception,indoor,S145
1276.wav,kensington,hintze,indoor,S145
1386.wav,Euston,gardens,outdoor,S145
1506.wav,Euston,ritblat,indoor,S145
1986.wav,kensington,dinosaur,indoor,S145
0415.wav,campus,canal,outdoor,S146
0432.wav,campus,ground,indoor,S146
0727.wav,Euston,piazza,outdoor,S146
0734.wav,westend,trafalgar,outdoor,S146
0980.wav,westend,leicester,outdoor,S146
1238.wav,Euston,ritblat,indoor,S146
1266.wav,Euston,library,indoor,S146
1498.wav,Euston,upper,indoor,S146
1561.wav,westend,charing,indoor,S146
1711.wav,westend,national,indoor,S146
1834.wav,campus,library,outdoor,S146
1932.wav,Euston,forecourt,outdoor,S146
1948.wav,westend,piazza,outdoor,S146
1977.wav,campus,curve,indoor,S146
2025.wav,campus,square,outdoor,S146
2275.wav,westend,market,indoor,S146
2323.wav,campus,reception,indoor,S146
0490.wav,westend,piazza,outdoor,S147
